name;worker;source_lang;target_lang;reference;bleu;sacrebleu
06_masaze-petr-klic;rb-EU_fromEN-en_to_41;en;cs;TTcs1;4.608;6.584
06_masaze-petr-klic;cs-CZ;en;cs;TTcs2;5.647;5.764
06_masaze-petr-klic;cs-CZ;en;cs;TTcs1;6.011;7.869
37_caspowalk;rb-EU_fromEN-en_to_41;en;de;TTde;9.169;14.461
37_caspowalk;rb-EU_fromEN-en_to_41;en;cs;TTcs1;5.486;9.623
37_caspowalk;rb-EU_fromEN-en_to_41;en;cs;TTcs2;7.634;12.227
37_caspowalk;cs-CZ;en;cs;TTcs1;7.788;12.215
37_caspowalk;cs-CZ;en;cs;TTcs2;8.307;12.273
21_hat-cap;rb-EU_fromEN-en_to_41;en;de;TTde;4.576;2.642
21_hat-cap;rb-EU_fromEN-en_to_41;en;cs;TTcs2;4.344;4.815
21_hat-cap;rb-EU_fromEN-en_to_41;en;cs;TTcs1;3.907;3.866
21_hat-cap;cs-CZ;en;cs;TTcs2;3.537;5.443
21_hat-cap;cs-CZ;en;cs;TTcs1;4.325;3.343
28_samanka;rb-EU_fromEN-en_to_41;en;cs;TTcs1;5.153;7.312
28_samanka;rb-EU_fromEN-en_to_41;en;de;TTde;6.946;9.89
28_samanka;rb-EU_fromEN-en_to_41;en;cs;TTcs2;5.873;9.603
28_samanka;cs-CZ;en;cs;TTcs1;4.193;6.616
28_samanka;cs-CZ;en;cs;TTcs2;4.242;8.177
13_don-bosco-barcelona;rb-EU_fromEN-en_to_41;en;de;TTde;4.25;4.129
13_don-bosco-barcelona;rb-EU_fromEN-en_to_41;en;cs;TTcs2;3.612;5.618
13_don-bosco-barcelona;rb-EU_fromEN-en_to_41;en;cs;TTcs1;3.561;2.886
13_don-bosco-barcelona;cs-CZ;en;cs;TTcs2;4.027;4.193
13_don-bosco-barcelona;cs-CZ;en;cs;TTcs1;3.339;2.346
11_trefa;rb-EU_fromEN-en_to_41;en;cs;TTcs1;5.406;12.672
11_trefa;rb-EU_fromEN-en_to_41;en;cs;TTcs2;7.299;12.079
11_trefa;rb-EU_fromEN-en_to_41;en;de;TTde;10.959;16.77
11_trefa;cs-CZ;en;cs;TTcs1;5.817;13.504
11_trefa;cs-CZ;en;cs;TTcs2;10.701;15.714
32_ck-remoa;rb-EU_fromEN-en_to_41;en;cs;TTcs2;5.276;9.244
32_ck-remoa;rb-EU_fromEN-en_to_41;en;cs;TTcs1;4.022;8.049
32_ck-remoa;rb-EU_fromEN-en_to_41;en;de;TTde;9.577;14.921
32_ck-remoa;cs-CZ;en;cs;TTcs2;10.182;13.247
32_ck-remoa;cs-CZ;en;cs;TTcs1;9.911;12.572
25_folkstyle;rb-EU_fromEN-en_to_41;en;cs;TTcs1;7.213;11.017
25_folkstyle;rb-EU_fromEN-en_to_41;en;de;TTde;11.565;14.583
25_folkstyle;rb-EU_fromEN-en_to_41;en;cs;TTcs2;8.627;11.707
